ACC,ARI,NMI,task_name,method,known_cls_ratio,labeled_ratio,fraction,seed,pred_num
10.5,0.22,8.04,stackoverflow,wopre_init,0.75,0.1,1.0,0,20
66.69,55.43,79.32,banking,pre_init_,0.75,0.1,1.0,1,77
80.04,70.34,90.4,clinc,pre_init_,0.75,0.1,1.0,0,150
10.8,0.23,8.05,stackoverflow,pre_init_,0.75,0.1,1.0,1,20
14.98,2.37,49.29,clinc,wopre_init,0.75,0.1,1.0,0,150
8.99,1.21,26.83,banking,wopre_init,0.75,0.1,1.0,1,77
67.99,54.28,78.56,banking,pre_init_,0.75,0.1,1.0,2,77
10.8,0.24,8.04,stackoverflow,wopre_init,0.75,0.1,1.0,1,20
10.7,0.21,7.9,stackoverflow,pre_init_,0.75,0.1,1.0,2,20
68.08,55.63,78.87,banking,pre_init_,0.75,0.1,1.0,3,77
79.69,71.36,90.97,clinc,pre_init_,0.75,0.1,1.0,1,150
14.55,4.97,35.82,banking,pre_init_,0.25,0.1,1.0,0,77
15.03,5.25,36.59,banking,pre_init_,0.25,0.1,1.0,1,77
78.1,60.82,76.56,stackoverflow,pre_init_f,0.75,0.1,1.0,0,20
46.04,38.53,72.55,banking,pre_init_f,0.75,0.1,1.0,0,77
13.99,4.51,34.86,banking,wopre_init,0.75,0.1,1.0,0,77
80.2,57.96,76.36,stackoverflow,pre_init_f,0.75,0.1,1.0,1,20
18.8,7.28,22.08,stackoverflow,wopre_init,0.75,0.1,1.0,0,20
48.28,39.24,72.52,banking,pre_init_f,0.75,0.1,1.0,1,77
14.84,5.21,35.92,banking,wopre_init_zhl,0.75,0.1,1.0,0,77
40.06,31.37,68.0,banking,pre_init_zhl,0.75,0.1,1.0,0,77
40.06,31.37,68.0,banking,pre_init_zhl,0.75,0.1,1.0,0,77
42.53,32.87,69.12,banking,pre_init_zhl,0.75,0.1,1.0,1,77
42.53,32.87,69.12,banking,pre_init_zhl,0.75,0.1,1.0,1,77
12.95,3.81,33.47,banking,wopre_init_zhl,0.75,0.1,1.0,1,77
75.42,67.54,90.45,clinc,DeepAligned,0.5,0.1,2.0,0,132
51.24,40.57,80.65,clinc,pre_init_zhl,0.75,0.1,1.0,0,150
41.79,32.69,68.31,banking,pre_init_zhl,0.75,0.1,1.0,2,77
41.79,32.69,68.31,banking,pre_init_zhl,0.75,0.1,1.0,2,77
12.69,3.79,32.47,banking,wopre_init_zhl,0.75,0.1,1.0,2,77
37.14,28.48,65.68,banking,pre_init_zhl,0.75,0.1,1.0,3,77
37.14,28.48,65.68,banking,pre_init_zhl,0.75,0.1,1.0,3,77
41.43,31.38,68.67,banking,pre_init_zhl,0.75,0.1,1.0,4,77
67.2,60.58,88.36,clinc,DeepAligned,0.5,0.1,2.0,4,114
14.87,5.85,36.9,banking,wopre_init_zhl,0.75,0.1,1.0,3,77
42.4,31.72,67.96,banking,pre_init_zhl,0.75,0.1,1.0,5,77
56.84,47.88,84.11,clinc,pre_init_zhl,0.75,0.1,1.0,1,150
14.19,5.02,35.55,banking,wopre_init_zhl,0.75,0.1,1.0,4,77
23.07,9.9,57.72,clinc,wopre_init_zhl,0.75,0.1,1.0,0,150
41.33,30.97,68.11,banking,pre_init_zhl,0.75,0.1,1.0,6,77
12.6,3.89,32.66,banking,wopre_init_zhl,0.75,0.1,1.0,5,77
39.58,30.25,67.31,banking,pre_init_zhl,0.75,0.1,1.0,7,77
12.69,3.67,32.86,banking,wopre_init_zhl,0.75,0.1,1.0,6,77
56.84,46.56,83.16,clinc,pre_init_zhl,0.75,0.1,1.0,2,150
14.03,4.67,34.83,banking,wopre_init_zhl,0.75,0.1,1.0,7,77
22.18,9.04,56.52,clinc,wopre_init_zhl,0.75,0.1,1.0,1,150
41.43,30.67,67.6,banking,pre_init_zhl,0.75,0.1,1.0,8,77
13.86,4.39,34.17,banking,wopre_init_zhl,0.75,0.1,1.0,8,77
45.49,35.23,70.46,banking,pre_init_zhl,0.75,0.1,1.0,9,77
13.96,4.55,34.54,banking,wopre_init_zhl,0.75,0.1,1.0,9,77
23.16,9.63,58.07,clinc,wopre_init_zhl,0.75,0.1,1.0,2,150
57.78,47.98,83.59,clinc,pre_init_zhl,0.75,0.1,1.0,3,150
24.53,10.63,59.1,clinc,wopre_init_zhl,0.75,0.1,1.0,3,150
57.87,46.95,83.32,clinc,pre_init_zhl,0.75,0.1,1.0,4,150
22.67,8.9,57.01,clinc,wopre_init_zhl,0.75,0.1,1.0,4,150
55.38,46.04,83.06,clinc,pre_init_zhl,0.75,0.1,1.0,5,150
22.76,9.54,57.68,clinc,wopre_init_zhl,0.75,0.1,1.0,5,150
55.96,45.21,82.73,clinc,pre_init_zhl,0.75,0.1,1.0,6,150
23.24,9.95,58.47,clinc,wopre_init_zhl,0.75,0.1,1.0,6,150
56.09,47.33,83.53,clinc,pre_init_zhl,0.75,0.1,1.0,7,150
23.33,9.71,58.03,clinc,wopre_init_zhl,0.75,0.1,1.0,7,150
53.64,43.23,82.35,clinc,pre_init_zhl,0.75,0.1,1.0,8,150
23.07,9.82,58.1,clinc,wopre_init_zhl,0.75,0.1,1.0,8,150
56.31,44.9,82.47,clinc,pre_init_zhl,0.75,0.1,1.0,9,150
22.22,9.22,57.25,clinc,wopre_init_zhl,0.75,0.1,1.0,9,150
